,sorta,lokalitet,CHU,HU,dormancy end,dormancy end BBCH,flowering start,flowering start BBCH
14,AJ,NS_CE,1029,4618,18/02/2014,1,02/04/2014,65
16,AJ,NS_CE,1448,5641,18/02/2015,1,22/04/2015,65
20,AJ,ZR_SU,1056,5570,29/01/2016,1,07/04/2016,65
15,AJ,NS_CE,1068,2962,02/02/2016,1,29/03/2016,65
4,AJ,RU_IK,0,0,03/02/2016,1,05/04/2016,64
10,AJ,NS_CE,804,5802,22/02/2017,1,05/04/2017,65
21,AJ,ZR_SU,809,5471,23/02/2017,1,04/04/2017,65
1,AJ,RU_IK,836,4375,25/02/2017,1,31/03/2017,60
13,AJ,NS_CE,1066,6942,24/01/2018,1,18/04/2018,65
0,AJ,NS_NE,1095,5281,03/02/2018,1,13/04/2018,61
22,AJ,ZR_SU,1663,5362,24/02/2018,1,16/04/2018,65
6,AJ,RU_IK,1639,6126,27/02/2018,1,16/04/2018,65
