,sorta,lokalitet,CHU,HU,chilling start,dormancy end,dormancy end BBCH,flowering start,flowering start BBCH
0,AJ,NS_NE,1378,5233,2017-11-01,2018-02-09,1,2018-04-13,61
4,AJ,NS_CE,914,5241,2016-11-01,2017-02-28,1,2017-04-05,65
7,AJ,NS_CE,1238,6888,2017-11-01,2018-01-30,1,2018-04-18,65
8,AJ,NS_CE,1259,4303,2013-11-01,2014-02-24,1,2014-04-02,65
9,AJ,NS_CE,848,3271,2015-11-01,2016-01-13,1,2016-03-29,65
10,AJ,NS_CE,1470,5480,2014-11-01,2015-02-24,1,2015-04-22,65
14,AJ,ZR_SU,1105,5301,2015-11-01,2016-02-04,1,2016-04-07,65
15,AJ,ZR_SU,912,4813,2016-11-01,2017-03-01,1,2017-04-04,65
16,AJ,ZR_SU,1614,5362,2017-11-01,2018-03-02,1,2018-04-16,65
